,aroon_down,aroon_up,aroon_bandwidth,bbands_lower,bbands_upper,bbandwidth_100,cci,macd_hist,obv,rsi,sma_100,sma_20,stoch,today_value,crudeoil_open,dollar_open,fedfund_open,gold_open,treasury_3_month,treasury_10_year,tomorrow_value
2020-02-12,68.0,100.0,32.0,295.8801,310.6189,4.860288310450625,130.3988,0.5621,152266495.0,66.5652,287.7115,303.2495,89.2079,310.06,51.26,98.31,98.83,1567.9,1.58,1.62,309.76
2020-02-11,0.0,100.0,100.0,296.0548,309.5222,4.4477911149201494,127.2818,0.4072,150193295.0,63.8521,287.3762,302.7885,90.4138,308.08,50.97,98.37,98.84,1573.0,1.57,1.59,310.06
2020-02-10,4.0,100.0,96.0,296.1414,308.7516,4.169398554785729,98.2111,0.2969,147757389.0,63.065,287.0613,302.4465,94.0582,307.52,50.87,98.17,98.825,1573.0,1.58,1.56,308.08
2020-02-07,8.0,96.0,88.0,296.0373,308.0297,3.970552935353189,83.4621,0.1238,145518724.0,59.8937,286.7503,302.0335,88.6643,305.33,51.36,97.92,98.805,1567.6,1.56,1.59,307.52
2020-02-06,0.0,100.0,100.0,295.9214,307.6246,3.8781468189665675,111.6022,0.0321,147767681.0,63.5001,286.4537,301.773,74.0335,306.89,51.45,97.795,98.76,1556.8,1.57,1.65,305.33
2020-02-05,4.0,100.0,96.0,295.7653,306.8977,3.69440300798289,90.4548,-0.3035,145851414.0,62.0869,286.1506,301.3315,54.1174,305.85,50.12,97.475,98.855,1553.2,1.57,1.66,306.89
2020-02-04,8.0,64.0,56.0,295.33,306.401,3.679717348782106,20.6486,-0.7352,142805598.0,57.0034,285.8586,300.8655,40.0645,302.43,49.66,97.3,98.87,1579.5,1.57,1.61,305.85
2020-02-03,12.0,68.0,56.0,294.9224,306.3006,3.7850182045597034,-95.454,-1.043,140521342.0,48.3775,285.5927,300.6115,38.6034,297.84,50.42,96.885,98.935,1594.6,1.57,1.54,302.43
2020-01-31,16.0,72.0,56.0,294.6471,306.4159,3.915995494648647,-144.8608,-1.0109,137268734.0,43.4423,285.353,300.5315,36.7616,295.69,51.53,97.33,98.87,1575.6,1.55,1.51,297.84
2020-01-30,20.0,76.0,56.0,295.1223,306.2137,3.6889193396038227,-65.4619,-0.6914,143451702.0,55.9078,285.1342,300.668,33.3144,301.09,51.11,97.47,98.87,1578.7,1.57,1.57,295.69
2020-01-29,24.0,80.0,56.0,294.4723,306.3347,3.948822167518015,-38.9345,-0.7125,139044797.0,53.7632,284.8607,300.4035,29.2979,300.15,51.75,97.435,98.805,1569.0,1.56,1.6,301.09
2020-01-28,0.0,84.0,84.0,293.7716,306.5244,4.248837240294799,-51.7854,-0.6323,141780852.0,54.5495,284.5946,300.148,37.2508,300.45,50.82,97.385,98.84,1583.9,1.57,1.65,300.15
2020-01-27,0.0,88.0,88.0,293.4079,306.5101,4.36799695958449,-110.4726,-0.5259,138323562.0,46.7943,284.2898,299.959,53.7459,297.23,51.0,97.25,98.81,1580.9,1.55,1.61,300.45
2020-01-24,0.0,92.0,92.0,293.3289,306.5331,4.402412554887629,40.1401,-0.0307,142595617.0,61.2641,283.9886,299.931,71.1269,302.03,52.86,97.11,98.735,1566.0,1.54,1.7,297.23
2020-01-23,0.0,96.0,96.0,292.7474,306.4276,4.566345391580075,82.7058,0.2252,146043084.0,73.4845,283.6539,299.5875,84.2818,304.81,53.34,96.955,98.725,1561.8,1.55,1.74,302.03
2020-01-22,0.0,100.0,100.0,292.4476,305.7624,4.4515471155614215,115.0333,0.2832,143373920.0,72.9437,283.2929,299.105,90.0627,304.51,54.99,96.895,98.685,1560.9,1.55,1.77,304.81
2020-01-21,0.0,100.0,100.0,292.4193,304.9697,4.201751287686907,125.299,0.3351,140630842.0,72.8064,282.9004,298.6945,90.4142,304.43,55.85,96.975,98.675,1567.0,1.56,1.78,304.51
2020-01-17,0.0,100.0,100.0,292.305,304.121,3.9622685798405746,152.1649,0.3517,143381189.0,75.613,282.4904,298.213,87.6434,305.06,55.49,96.675,98.68,1555.7,1.56,1.84,304.43
2020-01-16,0.0,100.0,100.0,292.3001,302.9779,3.5875002939802885,155.3414,0.2393,141163214.0,74.0971,282.0845,297.639,85.352,304.03,55.25,96.56,98.675,1559.9,1.55,1.81,305.06
2020-01-15,4.0,100.0,96.0,292.3651,301.8659,3.1976790170825913,128.605,0.1009,138603347.0,69.8376,281.6599,297.1155,87.0264,301.51,55.66,96.74,98.7,1550.3,1.57,1.79,304.03
2020-01-14,8.0,100.0,92.0,292.1679,301.2621,3.064961326525454,139.1106,0.0852,135788017.0,68.5612,281.3294,296.715,86.2174,300.84,55.23,96.7,98.68,1552.1,1.57,1.82,301.51
2020-01-13,0.0,100.0,100.0,291.5594,300.9306,3.1633276510996113,161.7817,0.0785,138408124.0,70.2082,281.0066,296.245,83.385,301.24,55.82,96.775,98.68,1563.7,1.57,1.85,300.84
2020-01-10,0.0,100.0,100.0,291.1872,300.3118,3.0852461289030026,166.4003,-0.0219,135680519.0,66.5104,280.6582,295.7495,75.7778,299.26,55.91,96.86,98.67,1558.2,1.54,1.83,301.24
2020-01-09,0.0,100.0,100.0,290.0356,300.4164,3.5162214710086586,231.0728,-0.0207,139347269.0,70.0154,280.3504,295.226,67.8646,300.12,55.89,96.635,98.675,1560.1,1.54,1.85,299.26
2020-01-08,4.0,100.0,96.0,289.0526,300.1914,3.780708840480345,142.8997,-0.1469,137178814.0,66.0341,280.0014,294.622,67.1116,298.06,58.3,96.29,98.74,1580.6,1.54,1.87,300.12
2020-01-07,8.0,88.0,80.0,288.1619,300.1071,4.0611352969474845,67.1663,-0.1684,133459301.0,62.6102,279.6347,294.1345,66.248,296.53,57.87,96.01,98.725,1570.2,1.54,1.83,298.06
2020-01-06,12.0,92.0,80.0,287.5325,300.0025,4.244853498089466,61.6222,-0.0758,135711462.0,65.917,279.2751,293.7675,64.9098,297.35,58.49,96.205,98.745,1559.1,1.56,1.81,296.53
2020-01-03,16.0,96.0,80.0,286.4999,299.9641,4.591654389698242,60.91,-0.0484,132934561.0,63.4934,278.9882,293.232,55.2342,296.24,56.92,96.13,98.7,1535.2,1.52,1.8,297.35
2020-01-02,20.0,100.0,80.0,285.4708,299.9802,4.956657346216858,134.2537,0.0685,136182452.0,72.9542,278.6714,292.7255,53.7479,298.42,56.82,95.78,98.625,1526.0,1.54,1.88,296.24
2019-12-31,24.0,92.0,68.0,284.3783,299.6597,5.233015659939922,47.0071,-0.0164,133041959.0,67.5598,278.3642,292.019,59.2495,295.8,56.95,95.93,98.64,1525.1,1.55,1.92,298.42
2019-12-30,28.0,96.0,68.0,283.7235,299.3645,5.364884888730351,58.3734,0.0726,130529245.0,65.718,278.10200000000003,291.5440000000001,66.2375,295.04,57.14,96.28,98.655,1520.8,1.57,1.9,295.8
2019-12-27,32.0,100.0,68.0,283.4797,298.9693,5.318783275445575,97.6645,0.2422,132874760.0,74.0959,277.7958,291.2245,66.7574,296.67,57.0,96.69,98.63,1516.5,1.57,1.88,295.04
2019-12-26,36.0,88.0,52.0,283.5303,298.2277,5.05275389423094,95.7432,0.2832,132874760.0,74.0959,277.4715,290.879,69.0802,296.67,56.92,96.82,98.625,1503.9,1.58,1.9,296.67
2019-12-24,40.0,92.0,52.0,283.5488,297.3822,4.762493308155351,79.1909,0.2824,130484476.0,71.1591,277.1136,290.4655,77.5332,295.16,56.42,96.925,98.605,1489.8,1.58,1.9,296.67
2019-12-23,44.0,96.0,52.0,283.4431,296.7539,4.588372570006385,92.4358,0.3697,130484476.0,71.1591,276.8501,290.0985,87.396,295.16,56.14,96.88,98.63,1482.4,1.59,1.93,295.16
2019-12-20,48.0,100.0,52.0,283.125,296.121,4.48721268683771,127.3297,0.4376,132809627.0,76.8293,276.6064,289.623,91.0713,294.8724,56.41,96.645,98.625,1482.7,1.58,1.92,295.16
2019-12-19,52.0,100.0,48.0,283.0363,295.0817,4.167107753088479,113.2788,0.3542,127823999.0,74.3302,276.3742,289.059,89.1175,293.3796,56.53,96.565,98.64,1479.4,1.57,1.92,294.8724
