,aroon_Aroon Down,aroon_Aroon Up,bbands_close_Real Lower Band,bbands_close_Real Middle Band,bbands_close_Real Upper Band,cci_CCI,macd_close_MACD_Hist,obv_OBV,rsi_close_RSI,sma_close_100_SMA,sma_close_20_SMA,stoch_SlowD,stock_time_series_adjusted_adjusted_close,crudeoil_Open,dollar_Open,fedfund_Open,gold_Open,treasury_3 MO,treasury_10 YR
2020-01-28,0.0,84.0,293.7716,300.148,306.5244,-51.7854,-0.6323,141780852.0,54.5495,284.5946,300.148,37.2508,300.45,50.82,97.385,98.84,1583.9,1.57,1.65
2020-01-27,0.0,88.0,293.4079,299.959,306.5101,-110.4726,-0.5259,138323562.0,46.7943,284.2898,299.959,53.7459,297.23,51.0,97.25,98.81,1580.9,1.55,1.61
2020-01-24,0.0,92.0,293.3289,299.931,306.5331,40.1401,-0.0307,142595617.0,61.2641,283.9886,299.931,71.1269,302.03,52.86,97.11,98.735,1566.0,1.54,1.7
2020-01-23,0.0,96.0,292.7474,299.5875,306.4276,82.7058,0.2252,146043084.0,73.4845,283.6539,299.5875,84.2818,304.81,53.34,96.955,98.725,1561.8,1.55,1.74
2020-01-22,0.0,100.0,292.4476,299.105,305.7624,115.0333,0.2832,143373920.0,72.9437,283.2929,299.105,90.0627,304.51,54.99,96.895,98.685,1560.9,1.55,1.77
2020-01-21,0.0,100.0,292.4193,298.6945,304.9697,125.299,0.3351,140630842.0,72.8064,282.9004,298.6945,90.4142,304.43,55.85,96.975,98.675,1567.0,1.56,1.78
2020-01-17,0.0,100.0,292.305,298.213,304.121,152.1649,0.3517,143381189.0,75.613,282.4904,298.213,87.6434,305.06,55.49,96.675,98.68,1555.7,1.56,1.84
2020-01-16,0.0,100.0,292.3001,297.639,302.9779,155.3414,0.2393,141163214.0,74.0971,282.0845,297.639,85.352,304.03,55.25,96.56,98.675,1559.9,1.55,1.81
2020-01-15,4.0,100.0,292.3651,297.1155,301.8659,128.605,0.1009,138603347.0,69.8376,281.6599,297.1155,87.0264,301.51,55.66,96.74,98.7,1550.3,1.57,1.79
2020-01-14,8.0,100.0,292.1679,296.715,301.2621,139.1106,0.0852,135788017.0,68.5612,281.3294,296.715,86.2174,300.84,55.23,96.7,98.68,1552.1,1.57,1.82
2020-01-13,0.0,100.0,291.5594,296.245,300.9306,161.7817,0.0785,138408124.0,70.2082,281.0066,296.245,83.385,301.24,55.82,96.775,98.68,1563.7,1.57,1.85
2020-01-10,0.0,100.0,291.1872,295.7495,300.3118,166.4003,-0.0219,135680519.0,66.5104,280.6582,295.7495,75.7778,299.26,55.91,96.86,98.67,1558.2,1.54,1.83
2020-01-09,0.0,100.0,290.0356,295.226,300.4164,231.0728,-0.0207,139347269.0,70.0154,280.3504,295.226,67.8646,300.12,55.89,96.635,98.675,1560.1,1.54,1.85
2020-01-08,4.0,100.0,289.0526,294.622,300.1914,142.8997,-0.1469,137178814.0,66.0341,280.0014,294.622,67.1116,298.06,58.3,96.29,98.74,1580.6,1.54,1.87
2020-01-07,8.0,88.0,288.1619,294.1345,300.1071,67.1663,-0.1684,133459301.0,62.6102,279.6347,294.1345,66.248,296.53,57.87,96.01,98.725,1570.2,1.54,1.83
2020-01-06,12.0,92.0,287.5325,293.7675,300.0025,61.6222,-0.0758,135711462.0,65.917,279.2751,293.7675,64.9098,297.35,58.49,96.205,98.745,1559.1,1.56,1.81
2020-01-03,16.0,96.0,286.4999,293.232,299.9641,60.91,-0.0484,132934561.0,63.4934,278.9882,293.232,55.2342,296.24,56.92,96.13,98.7,1535.2,1.52,1.8
2020-01-02,20.0,100.0,285.4708,292.7255,299.9802,134.2537,0.0685,136182452.0,72.9542,278.6714,292.7255,53.7479,298.42,56.82,95.78,98.625,1526.0,1.54,1.88
2019-12-31,24.0,92.0,284.3783,292.019,299.6597,47.0071,-0.0164,133041959.0,67.5598,278.3642,292.019,59.2495,295.8,56.95,95.93,98.64,1525.1,1.55,1.92
2019-12-30,28.0,96.0,283.7235,291.5440000000001,299.3645,58.3734,0.0726,130529245.0,65.718,278.10200000000003,291.5440000000001,66.2375,295.04,57.14,96.28,98.655,1520.8,1.57,1.9
2019-12-27,32.0,100.0,283.4797,291.2245,298.9693,97.6645,0.2422,132874760.0,74.0959,277.7958,291.2245,66.7574,296.67,57.0,96.69,98.63,1516.5,1.57,1.88
